Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Moise Kean,Centre-Forward,19,19/20,Italy/Cote d'Ivoire,Juventus,Serie A,Italy,Everton,Premier League,England,€27.50m,False,https://img.a.transfermarkt.technology/portrait/medium/364135-1545231665.jpg?lm=1
Christian Eriksen,Attacking Midfield,27,19/20,Denmark,Spurs,Premier League,England,Inter,Serie A,Italy,€27.00m,False,https://img.a.transfermarkt.technology/portrait/medium/69633-1518794659.jpg?lm=1
Samuel Eto'o,Centre-Forward,30,11/12,Cameroon/Spain,Inter,Serie A,Italy,Anzhi,Russia,Russia,€27.00m,False,https://img.a.transfermarkt.technology/portrait/medium/4257-1444922080.jpg?lm=1
Diego,Central Midfield,24,09/10,Brazil/Italy,Werder Bremen,Bundesliga,Germany,Juventus,Serie A,Italy,€27.00m,False,https://img.a.transfermarkt.technology/portrait/medium/4248-1506074640.jpg?lm=1
Steven Nzonzi,Defensive Midfield,29,18/19,France/DR Congo,Sevilla FC,LaLiga,Spain,AS Roma,Serie A,Italy,€26.65m,False,https://img.a.transfermarkt.technology/portrait/medium/73734-1572952277.jpg?lm=1
Ronaldo,Centre-Forward,20,97/98,Brazil/Spain,Barcelona,LaLiga,Spain,Inter,Serie A,Italy,€26.50m,False,https://img.a.transfermarkt.technology/portrait/medium/3140-1489417571.jpg?lm=1
Patrik Schick,Centre-Forward,24,20/21,Czech Republic,AS Roma,Serie A,Italy,Bay. Leverkusen,Bundesliga,Germany,€26.50m,False,https://img.a.transfermarkt.technology/portrait/medium/242086-1615896966.jpg?lm=1
Francesco Toldo,Goalkeeper,29,01/02,Italy,Fiorentina,Serie A,Italy,Inter,Serie A,Italy,€26.50m,False,https://img.a.transfermarkt.technology/portrait/medium/5769-1472641469.jpg?lm=1
Alex Meret,Goalkeeper,22,19/20,Italy,Udinese Calcio,Serie A,Italy,SSC Napoli,Serie A,Italy,€26.00m,False,https://img.a.transfermarkt.technology/portrait/medium/240414-1595847422.jpg?lm=1
Cristian Romero,Centre-Back,21,19/20,Argentina,Genoa,Serie A,Italy,Juventus,Serie A,Italy,€26.00m,False,https://img.a.transfermarkt.technology/portrait/medium/355915-1595857770.jpg?lm=1
