Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Giuseppe Rizzo,Central Midfield,27,18/19,Italy,Salernitana,Serie B,Italy,Catania,Serie C-C,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/130172-1464097483.jpg?lm=1
Giuseppe Statella,Right Midfield,30,18/19,Italy,Ternana,Serie C-B,Italy,Catanzaro,Serie C-C,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/74304-1539356615.jpg?lm=1
Raffaele Ioime,Goalkeeper,30,18/19,Italy,Matera,Serie C-C,Italy,Potenza,Serie C-C,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/57645-1545926504.png?lm=1
Nicola Citro,Centre-Forward,28,17/18,Italy,Trapani,Serie C-C,Italy,Frosinone,Serie B,Italy,€50Th.,True,https://img.a.transfermarkt.technology/portrait/medium/94943-1570172356.jpg?lm=1
Giuseppe Statella,Right Midfield,29,17/18,Italy,Cosenza,Serie C-C,Italy,Ternana U.,Serie B,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/74304-1539356615.jpg?lm=1
Alessio Zerbin,Left Winger,17,16/17,Italy,Gozzano,Serie D - A,Italy,Napoli U19,Primavera A,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/433584-1568801737.jpg?lm=1
Armand Rada,Central Midfield,18,17/18,Albania/Italy,Olginatese,Serie D - A,Italy,Inter U19,Primavera 1,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/408333-1493204253.jpg?lm=1
Bernard Aga,Central Midfield,18,19/20,Albania/Italy,KF Tirana U19,Albania,Albania,Seregno,Serie D - B,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Cristian Carletti,Centre-Forward,20,16/17,Italy,Pergolettese,Serie D - B,Italy,Carpi,Serie B,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/355787-1545915704.JPG?lm=1
Jerry Mbakogu,Centre-Forward,21,14/15,Nigeria/Italy,Padova,Serie D - C,Italy,Carpi,Serie B,Italy,€220Th.,False,https://img.a.transfermarkt.technology/portrait/medium/130382-1449137501.jpg?lm=1
Caio Vinicius Pirana,Goalkeeper,19,18/19,Brazil/Italy,Campodarsego,Serie D - C,Italy,Bologna,Serie A,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/541232-1530876004.png?lm=1
Mattia Chiesa,Goalkeeper,18,19/20,Italy,Ambrosiana,Serie D - C,Italy,Hellas Verona,Serie A,Italy,€93Th.,False,https://img.a.transfermarkt.technology/portrait/medium/535881-1574410920.jpg?lm=1
